Query;Run1;Run2;Run3;Run4;Scale Factor;Approach;Shape;Type;Considered
3;0.0   ;0.0   ;0.0   ;0.0   ;3;Schema;Acyclic;GPM;N
4;21895.0 ;21323.0 ;21662.0 ;21596.0 ;3;Schema;Cyclic;GPM;N
5;9295.0   ;9364.0  ;8126.0  ;9639.0  ;3;Schema;Cyclic;GPM;N
6;0.0   ;0.0  ;0.0  ;0.0  ;3;Schema;Acyclic;GPM;N
7;49037.0 ;50025.0 ;45792.0 ;53968.0 ;3;Schema;Acyclic;GPM;Y
8;1241724.0  ;1241724.0 ;1136952.0 ;1136952.0 ;3;Schema;Acyclic;GN;Y
9;0.0     ;0.0    ;0.0    ;0.0    ;3;Schema;Cyclic;GN;N
10;0.0      ;0.0      ;0.0      ;0.0      ;3;Schema;Cyclic;GN;N
11;0.0     ;0.0    ;0.0    ;0.0    ;3;Schema;Acyclic;GN;N
12;0.0     ;0.0     ;0.0     ;0.0    ;3;Schema;Acyclic;GN;N
13;52221.0  ;63771.0 ;46028.0 ;59406.0  ;3;Schema;Acyclic;GN;Y
14;14982.0  ;19920.0 ;16161.0 ;17273.0  ;3;Schema;Acyclic;GN;Y
15;0.0     ;0.0    ;0.0    ;0.0   ;3;Schema;Acyclic;GN;N
16;76793.0 ;52139.0 ;42305.0 ;65464.0  ;3;Schema;Acyclic;GN;Y
17;7103.0 ;7568.0   ;5983.0   ;7140.0  ;3;Schema;Acyclic;GN;Y
18;6095.0 ;5211.0 ;4213.0 ;4398.0 ;3;Schema;Acyclic;GN;N
19;50709.0 ;36162.0 ;29993.0 ;50407.0 ;3;Schema;Cyclic;GN;N
20;12830.0 ;13753.0 ;11536.0 ;11168.0 ;3;Schema;Acyclic;GN;Y
21;20541.0 ;14023.0  ;16434.0  ;20033.0 ;3;Schema;Cyclic;GPM;N
22;9028.0  ;9642.0  ;8361.0  ;8338.0  ;3;Schema;Cyclic;GPM;N
23;0.0    ;0.0   ;0.0   ;0.0   ;3;Schema;Acyclic;GN;N
24;7935.0 ;9137.0 ;8914.0 ;7471.0 ;3;Schema;Acyclic;GN;Y
25;56098.0 ;43253.0  ;44226.0  ;54083.0   ;3;Schema;Acyclic;GN;Y
26;740.0  ;401.0  ;408.0 ;805.0  ;3;Schema;Cyclic;GN;N
27;146649.0 ;79366.0  ;100953.0  ;66473.0  ;3;Schema;Acyclic;GN;Y
28;21283.0 ;21008.0  ;22402.0  ;23400.0 ;3;Schema;Acyclic;GPM;N
29;33454.0   ;32635.0 ;39060.0 ;34851.0 ;3;Schema;Cyclic;GPM;N
30;0.0;0.0;0.0;0.0;3;Schema;Acyclic;GPM;N
1;0.0    ;0.0    ;0.0    ;0.0    ;3;Non Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0   ;3;Non Schema;Acyclic;GPM;N
3;0.0   ;0.0   ;0.0   ;0.0   ;3;Non Schema;Acyclic;GPM;N
4;21895.0 ;21323.0 ;21662.0 ;21596.0 ;3;Non Schema;Cyclic;GPM;N
5;7678.0   ;7616.0  ;7693.0  ;7614.0  ;3;Non Schema;Cyclic;GPM;N
6;0.0   ;0.0  ;0.0  ;0.0  ;3;Non Schema;Acyclic;GPM;N
7;52486.0 ;51958.0 ;52846.0 ;50482.0 ;3;Non Schema;Acyclic;GPM;Y
8;1800000.0  ;1800000.0 ;1800000.0 ;1800000.0 ;3;Non Schema;Acyclic;GN;Y
9;0.0     ;0.0    ;0.0    ;0.0    ;3;Non Schema;Cyclic;GN;N
10;0.0      ;0.0      ;0.0      ;0.0      ;3;Non Schema;Cyclic;GN;N
11;0.0      ;0.0    ;0.0    ;0.0    ;3;Non Schema;Acyclic;GN;N
12;0.0    ;0.0     ;0.0     ;0.0    ;3;Non Schema;Acyclic;GN;N
13;148319.0 ;85260.0 ;89150.0 ;128352.0 ;3;Non Schema;Acyclic;GN;Y
14;126198.0  ;89022.0 ;88049.0 ;136903.0 ;3;Non Schema;Acyclic;GN;Y
15;0.0    ;0.0   ;0.0   ;0.0   ;3;Non Schema;Acyclic;GN;N
16;214776.0 ;128578.0 ;118669.0 ;209882.0 ;3;Non Schema;Acyclic;GN;Y
17;7103.0 ;12695.0 ;8229.0   ;11267.0 ;3;Non Schema;Acyclic;GN;Y
18;5369.0 ;12749.0 ;8232.0 ;5080.0 ;3;Non Schema;Acyclic;GN;N
19;52090.0 ;49788.0 ;42215.0 ;51656.0 ;3;Non Schema;Cyclic;GN;N
20;44437.0 ;34023.0 ;30129.0 ;46694.0 ;3;Non Schema;Acyclic;GN;Y
21;16844.0 ;11748.0  ;19919.0  ;15819.0 ;3;Non Schema;Cyclic;GPM;N
22;9028.0  ;9642.0  ;8361.0  ;8338.0  ;3;Non Schema;Cyclic;GPM;N
23;0.0   ;0.0  ;0.0  ;0.0  ;3;Non Schema;Acyclic;GN;N
24;53926.0 ;29408.0 ;28632.0 ;52614.0 ;3;Non Schema;Acyclic;GN;Y
25;56098.0 ;43253.0  ;44226.0  ;54083.0   ;3;Non Schema;Acyclic;GN;Y
26;740.0 ;401.0 ;408.0 ;805.0 ;3;Non Schema;Cyclic;GN;N
27;1800000.0 ;1800000.0 ;1800000.0 ;1800000.0 ;3;Non Schema;Acyclic;GN;Y
28;17387.0 ;19574.0  ;18525.0  ;16476.0 ;3;Non Schema;Acyclic;GPM;N
29;30421.0   ;25490.0 ;23927.0 ;21869.0 ;3;Non Schema;Cyclic;GPM;N
30;0.0;0.0;0.0;0.0;3;Non Schema;Acyclic;GPM;N
1;0.0    ;0.0    ;0.0   ; 0.0    ;10;Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ; 0.0   ;10;Schema;Acyclic;GPM;N
3;0.0   ;0.0   ;0.0   ; 0.0   ;10;Schema;Acyclic;GPM;N
4;73191.0 ;68597.0 ;67916.0 ; 79564.0 ;10;Schema;Cyclic;GPM;N
5;103315.0  ;33086.0 ;34404.0 ; 34356.0 ;10;Schema;Cyclic;GPM;N
6;0.0   ;0.0  ;0.0  ; 0.0  ;10;Schema;Acyclic;GPM;N
7;322935.0  ;248746.0  ;230983.0  ; 290323.0  ;10;Schema;Acyclic;GPM;Y
8;0.0     ;0.0     ;0.0     ; 0.0     ;10;Schema;Acyclic;GN;Y
9;0.0      ;0.0    ;0.0    ; 0.0    ;10;Schema;Cyclic;GN;N
10;0.0      ;0.0      ;0.0      ; 0.0      ;10;Schema;Cyclic;GN;N
11;0.0     ;0.0     ;0.0     ; 0.0    ;10;Schema;Acyclic;GN;N
12;0.0     ;0.0    ;0.0    ; 0.0   ;10;Schema;Acyclic;GN;N
13;239679.0 ;177849.0 ;210968.0 ; 211531.0  ;10;Schema;Acyclic;GN;Y
14;65168.0   ;53516.0   ;61043.0   ; 61557.0   ;10;Schema;Acyclic;GN;Y
15;0.0    ;0.0    ;0.0    ; 0.0   ;10;Schema;Acyclic;GN;N
16;286180.0 ;238693.0 ;261134.0 ; 279019.0  ;10;Schema;Acyclic;GN;Y
17;18484.0 ;18158.0 ;17027.0 ; 18121.0 ;10;Schema;Acyclic;GN;Y
18;16168.0 ;13383.0 ;13743.0 ; 15765.0 ;10;Schema;Acyclic;GN;N
19;179585.0 ;159137.0  ;162466.0 ; 171342.0 ;10;Schema;Cyclic;GN;N
20;37234.0 ;40725.0  ;40451.0  ; 40827.0   ;10;Schema;Acyclic;GN;Y
21;99435.0 ;68104.0 ;66769.0 ; 94206.0 ;10;Schema;Cyclic;GPM;N
22;38166.0   ;38159.0   ;33921.0   ; 35841.0  ;10;Schema;Cyclic;GPM;N
23;0.0    ;0.0   ;0.0   ; 0.0  ;10;Schema;Acyclic;GN;N
24;31969.0 ;41310.0 ;28598.0 ; 31766.0 ;10;Schema;Acyclic;GN;Y
25;210419.0 ;227932.0 ;158617.0  ; 194719.0  ;10;Schema;Acyclic;GN;Y
26;9908.0   ;10172.0   ;8676.0   ; 9340.0  ;10;Schema;Cyclic;GN;N
27;0.0     ;0.0    ;0.0    ; 0.0  ;10;Schema;Acyclic;GN;Y
28;165181.0 ;185952.0 ;138828.0 ; 150043.0 ;10;Schema;Acyclic;GPM;N
29;117713.0  ;125087.0  ;102242.0  ; 123835.0   ;10;Schema;Cyclic;GPM;N
30;0.0;0.0;0.0; 0.0;10;Schema;Acyclic;GPM;N
1;0.0    ;0.0    ;0.0    ;0.0    ;10;Non Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0   ;10;Non Schema;Acyclic;GPM;N
3;0.0   ;0.0   ;0.0   ;0.0   ;10;Non Schema;Acyclic;GPM;N
4;73191.0 ;68597.0 ;67916.0 ; 79564.0 ;10;Non Schema;Cyclic;GPM;N
5;55943.0   ;24705.0 ;36127.0 ;24705.0 ;10;Non Schema;Cyclic;GPM;N
6;0.0   ;0.0  ;0.0  ;0.0  ;10;Non Schema;Acyclic;GPM;N
7;318640.0  ;300712.0  ;349666.0  ;300712.0  ;10;Non Schema;Acyclic;GPM;Y
8;0.0     ;0.0     ;0.0     ;0.0     ;10;Non Schema;Acyclic;GN;Y
9;0.0      ;0.0    ;0.0    ;0.0    ;10;Non Schema;Cyclic;GN;N
10;0.0      ;0.0      ;0.0      ;0.0      ;10;Non Schema;Cyclic;GN;N
11;0.0     ;0.0     ;0.0     ;0.0    ;10;Non Schema;Acyclic;GN;N
12;0.0     ;0.0    ;0.0    ;0.0   ;10;Non Schema;Acyclic;GN;N
13;554242.0 ;587409.0 ;647988.0 ;587409.0 ;10;Non Schema;Acyclic;GN;Y
14;511149.0  ;522687.0  ;430618.0  ;522687.0   ;10;Non Schema;Acyclic;GN;Y
15;0.0   ;0.0   ;0.0   ;0.0  ;10;Non Schema;Acyclic;GN;N
16;1800000.0  ;1800000.0  ;1800000.0  ;1800000.0   ;10;Non Schema;Acyclic;GN;Y
17;18484.0 ;21505.0 ;15047.0 ;21505.0 ;10;Non Schema;Acyclic;GN;Y
18;15245.0 ;16498.0 ;11634.0 ;16498.0 ;10;Non Schema;Acyclic;GN;N
19;172564.0 ;200239.0 ;142670.0 ;200239.0 ;10;Non Schema;Cyclic;GN;N
20;162058.0 ;182628.0  ;150203.0 ;182628.0 ;10;Non Schema;Acyclic;GN;Y
21;80052.0 ;70225.0 ;75789.0 ;102235.0 ;10;Non Schema;Cyclic;GPM;N
22;38166.0   ;38159.0   ;33921.0    ; 35841.0  ;10;Non Schema;Cyclic;GPM;N
23;0.0   ;0.0  ;0.0  ;0.0 ;10;Non Schema;Acyclic;GN;N
24;189000.0 ;220073.0 ;171300.0 ;220073.0 ;10;Non Schema;Acyclic;GN;Y
25;200521.0 ;227932.0 ;158617.0  ;194719.0  ;10;Non Schema;Acyclic;GN;Y
26;9908.0   ;10172.0   ;8676.0   ; 9340.0    ;10;Non Schema;Cyclic;GN;N
27;0.0     ;0.0    ;0.0    ;0.0  ;10;Non Schema;Acyclic;GN;Y
28;138061.0 ;162097.0 ;132189.0 ;162097.0 ;10;Non Schema;Acyclic;GPM;N
29;102550.0  ;130771.0  ;85095.0   ;130771.0   ;10;Non Schema;Cyclic;GPM;N
30;0.0;0.0;0.0;0.0;10;Non Schema;Acyclic;GPM;N
1;0.0    ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0   ;30;Schema;Acyclic;GPM;N
3;0.0  ;0.0 ;0.0 ;0.0 ;30;Schema;Acyclic;GPM;N
4;0.0   ;0.0 ;0.0 ;0.0 ;30;Schema;Cyclic;GPM;N
5;221550.0    ;188940.0    ;138204.0    ;155169.0    ;30;Schema;Cyclic;GPM;N
6;0.0    ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GPM;N
7;0.0     ;0.0     ;0.0     ;0.0     ;30;Schema;Acyclic;GPM;Y
8;0.0  ;0.0  ;0.0   ;0.0   ;30;Schema;Acyclic;GN;Y
9;0.0    ;0.0    ;0.0    ;0.0    ;30;Schema;Cyclic;GN;N
10;0.0      ;0.0     ;0.0     ;0.0     ;30;Schema;Cyclic;GN;N
11;0.0      ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GN;N
12;0.0   ;0.0   ;0.0   ;0.0    ;30;Schema;Acyclic;GN;N
13;0.0    ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GN;Y
14;122497.0    ;106665.0   ;109006.0   ;144740.0   ;30;Schema;Acyclic;GN;Y
15;0.0     ;0.0     ;0.0     ;0.0     ;30;Schema;Acyclic;GN;N
16;0.0   ;0.0     ;0.0     ;0.0     ;30;Schema;Acyclic;GN;Y
17;40260.0 ;39475.0 ;30779.0 ;37581.0 ;30;Schema;Acyclic;GN;Y
18;42140.0 ;35952.0 ;26723.0 ;39287.0 ;30;Schema;Acyclic;GN;N
19;649375.0 ;648847.0  ;563921.0  ;569085.0  ;30;Schema;Cyclic;GN;N
20;133673.0 ;152956.0 ;136705.0 ;120568.0  ;30;Schema;Acyclic;GN;Y
21;265076.0 ;297378.0  ;265233.0 ;176707.0 ;30;Schema;Cyclic;GPM;N
22;122280.0  ;95117.0  ;112970.0  ;107475.0  ;30;Schema;Cyclic;GPM;N
23;0.0   ;0.0   ;0.0   ;0.0  ;30;Schema;Acyclic;GN;N
24;101566.0   ;120919.0 ;113930.0 ;102053.0 ;30;Schema;Acyclic;GN;Y
25;0.0   ;0.0    ;0.0    ;0.0    ;30;Schema;Acyclic;GN;Y
26;80033.0    ;82193.0    ;79913.0    ;70529.0   ;30;Schema;Cyclic;GN;N
27;0.0       ;0.0     ;0.0     ;0.0     ;30;Schema;Acyclic;GN;Y
28;0.0    ;0.0   ;0.0   ;0.0   ;30;Schema;Acyclic;GPM;N
29;278378.0  ;371693.0   ;360441.0   ;326999.0   ;30;Schema;Cyclic;GPM;N
30;0.0;0.0;0.0;0.0;30;Schema;Acyclic;GPM;N
1;0.0    ;0.0    ;0.0    ;0.0    ;30;Non Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0   ;30;Non Schema;Acyclic;GPM;N
3;0.0  ;0.0 ;0.0  ;0.0 ;30;Non Schema;Acyclic;GPM;N
4;0.0   ;0.0 ;0.0 ;0.0 ;30;Non Schema;Cyclic;GPM;N
5;116055.0    ;118890.0    ;107955.0    ;110788.0    ;30;Non Schema;Cyclic;GPM;N
6;0.0    ;0.0    ;0.0    ;0.0    ;30;Non Schema;Acyclic;GPM;N
7;0.0     ;0.0     ;0.0     ;0.0     ;30;Non Schema;Acyclic;GPM;Y
8;0.0   ;0.0   ;0.0   ;0.0   ;30;Non Schema;Acyclic;GN;Y
9;0.0    ;0.0    ;0.0    ;0.0    ;30;Non Schema;Cyclic;GN;N
10;0.0      ;0.0     ;0.0     ;0.0     ;30;Non Schema;Cyclic;GN;N
11;0.0      ;0.0    ;0.0    ;0.0    ;30;Non Schema;Acyclic;GN;N
12;0.0   ;0.0  ;0.0   ;0.0   ;30;Non Schema;Acyclic;GN;N
13;0.0   ;0.0   ;0.0   ;0.0   ;30;Non Schema;Acyclic;GN;Y
14;1800000.0    ;1800000.0   ;1800000.0   ;1800000.0   ;30;Non Schema;Acyclic;GN;Y
15;0.0     ;0.0     ;0.0     ;0.0     ;30;Non Schema;Acyclic;GN;N
16;0.0   ;0.0     ;0.0     ;0.0     ;30;Non Schema;Acyclic;GN;Y
17;40260.0  ;63394.0 ;34720.0 ;39030.0 ;30;Non Schema;Acyclic;GN;Y
18;46965.0 ;59813.0 ;61455.0 ;41596.0 ;30;Non Schema;Acyclic;GN;N
19;736761.0 ;656281.0 ;663405.0 ;597014.0 ;30;Non Schema;Cyclic;GN;N
20;1800000.0  ;1800000.0 ;1800000.0 ;1800000.0  ;30;Non Schema;Acyclic;GN;Y
21;356246.0 ;218064.0  ;291797.0 ;227205.0 ;30;Non Schema;Cyclic;GPM;N
22;122280.0  ;95117.0  ;112970.0  ;107475.0 ;30;Non Schema;Cyclic;GPM;N
23;0.0    ;0.0    ;0.0    ;0.0   ;30;Non Schema;Acyclic;GN;N
24;760930.0   ;529564.0 ;598055.0 ;602831.0 ;30;Non Schema;Acyclic;GN;Y
25;0.0   ;0.0    ;0.0    ;0.0    ;30;Non Schema;Acyclic;GN;Y
26;80033.0    ;82193.0    ;79913.0    ;70529.0   ;30;Non Schema;Cyclic;GN;N
27;0.0       ;0.0     ;0.0     ;0.0     ;30;Non Schema;Acyclic;GN;Y
28;0.0    ;0.0   ;0.0   ;0.0   ;30;Non Schema;Acyclic;GPM;N
29;368646.0  ;369556.0   ;346241.0   ;366866.0   ;30;Non Schema;Cyclic;GPM;N
30;0.0;0.0;0.0;0.0;30;Non Schema;Acyclic;GPM;N